Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
101,7,0.3067,6.441,74.13,0.06811,0.846657,"Q54705 Q31RN3 Q8GIT7 P38043 Q54704 Q31LV9 Q31MH4"
102,12,0.3112,20.54,25.68,0.2925,0.0130496,"Q31JZ2 Q31LT1 Q31MN6 Q31QK9 Q31K19 Q31PQ2 Q31QU4 Q31QS5 Q31MG8 Q31N39 Q31QP9 Q31PQ0"
103,7,0.3268,6.863,60.88,0.08395,0.695754,"Q31LM4 Q31R92 Q31KY4 Q31M41 Q31LS0 Q31Q49 Q31RD9"
104,4,0.3195,1.917,1.558,0.1671,0.154712,"Q31S62 Q31MC9 Q31N20 Q31QF9"
105,4,0.3358,2.015,6.211,0.1242,0.190373,"Q31PF2 Q31RH2 Q31MI6 Q31S32"
106,3,0.4703,1.411,3.977,0.1239,0.331260,"Q31MJ6 Q31QT1 Q31S93"
107,5,0.3007,3.007,23.96,0.08134,0.147401,"Q31MQ3 Q31JU4 Q31QE7 Q31R64 Q31NM0"
108,7,0.3262,6.850,18.02,0.1762,0.899332,"Q935X2 Q31S21 Q31N83 Q31QM9 Q31MS0 Q31S93 Q31MS1"
109,5,0.3942,3.942,6.569,0.1922,0.0693959,"Q31PM0 Q31NF5 Q31PM5 Q31S61 Q31PV1"
110,8,0.3519,9.854,29.65,0.1775,0.718238,"Q54709 Q31PU9 Q31SB9 P74764 Q31KD2 Q31LH5 Q31PW3 Q31RY6"
111,5,0.3142,3.142,52.08,0.04817,0.734565,"P31094 Q31QM5 Q8GJL5 Q31PS2 Q31MF9"
112,4,0.3433,2.060,17.97,0.07350,0.148742,"Q31KP3 Q07948 Q31KK9 Q31RT4"
113,6,0.3117,4.676,17.25,0.1378,0.764415,"O68523 Q31KQ9 Q31MC6 Q31QL7 Q31K46 Q54764"
114,5,0.3709,3.709,28.49,0.08790,0.928164,"Q8GIS4 Q31ML0 Q31KA6 Q31P44 Q31M07"
115,6,0.3114,4.671,17.25,0.1377,0.885117,"O68523 Q31KQ9 Q31QL7 P50590 Q31S13 Q54764"
116,8,0.3101,8.682,77.51,0.08495,0.958552,"Q31LU5 Q31PC1 Q9R6W2 Q31NZ1 Q31R70 Q31RZ4 Q31KZ1 Q6BBK3"
117,4,0.3288,1.973,9.441,0.1016,0.150261,"Q31PX4 Q31LB8 Q31LF3 Q54760"
118,7,0.3276,6.879,60.26,0.08478,0.695754,"Q31LM4 Q31R92 Q31KY4 Q31M41 Q31LS0 Q31RD9 Q31RX1"
119,8,0.3079,8.621,118.6,0.06020,0.905369,"O05161 Q31LM9 Q935Z3 Q8GMT0 Q31NA5 Q8GMR8 Q31M07 Q31R87"
120,9,0.3124,11.24,38.25,0.1666,0.670661,"Q31KQ9 Q31QL7 Q31M23 Q8KPS9 Q31R79 Q54764 Q31QR3 Q31RL9 Q31RX8"
121,4,0.3240,1.944,11.90,0.08898,0.557725,"Q31Q65 Q31QR3 Q31MJ3 Q31Q09"
122,5,0.3000,3.000,23.37,0.08250,0.145173,"Q31MQ3 Q31JU4 Q31QE7 Q31R64 Q31MQ1"
123,4,0.3495,2.097,0.6720,0.1947,0.0272572,"Q31MC9 Q31N20 Q31QF9 Q54769"
124,4,0.3272,1.963,9.451,0.1011,0.150261,"Q31PX4 Q31LF3 Q31NT3 Q54760"
125,11,0.3029,16.66,29.45,0.2446,0.0740515,"Q31LT1 Q31MN6 Q31K01 Q31QK9 Q31K19 Q31PQ2 Q31QU4 Q31MG8 Q31QP9 Q31NT4 Q31PQ0"
126,14,0.3083,28.05,53.59,0.2558,0.0312906,"O32463 Q31KH4 Q31LH6 Q31MT0 Q31PF2 Q31PY5 Q31PZ6 Q31QT5 Q31RM5 Q8GMR3 Q935Y4 Q31Q07 Q31N26 Q31P96"
127,4,0.3573,2.144,11.66,0.09833,0.150261,"Q31QL4 Q31MN3 Q31NZ4 Q8GIS1"
128,3,0.4923,1.477,5.482,0.1140,0.808633,"Q31LV7 Q31R58 Q31QZ1"
129,4,0.3328,1.997,11.09,0.09468,0.843839,"Q31RJ2 Q8GMR4 Q8GMR7 Q99QJ5"
